session_id,date,time,device_id,recording_start,duration_seconds,duration_hms,total_messages,restarts,restart_times,notas
20260407_154923,2026-04-07,15:49:53,27,15:49:23,30,00:00:30,25718,0,,
20260407_154923,2026-04-07,15:49:53,25,15:49:23,30,00:00:30,15799,0,,
20260407_154923,2026-04-07,15:49:53,26,15:49:23,30,00:00:30,15813,0,,
