session_id	date	time	device_id	recording_start	duration_seconds	duration_hms	total_messages	restarts	restart_times	notas
20260407_160013	2026-04-07	16:00:51	27	16:00:13	38	00:00:38	32928	0		
20260407_160013	2026-04-07	16:00:51	25	16:00:13	38	00:00:38	20286	0		
20260407_160013	2026-04-07	16:00:51	26	16:00:13	38	00:00:38	20293	0		
20260407_160013	2026-04-07	16:00:16	nota			00:00:03				teste
20260407_160013	2026-04-07	16:00:42	nota			00:00:29				outro teste
