session_id,date,time,device_id,recording_start,duration_seconds,duration_hms,total_messages,restarts,restart_times
20260407_153555,2026-04-07,15:36:40,27,15:35:55,45,00:00:45,39228,0,
20260407_153555,2026-04-07,15:36:40,25,15:35:55,45,00:00:45,24150,0,
20260407_153555,2026-04-07,15:36:40,26,15:35:55,45,00:00:45,24157,0,
