session_id	date	time	device_id	recording_start	duration_seconds	duration_hms	total_messages	restarts	restart_times	notas
20260407_160347	2026-04-07	16:08:11	27	16:03:47	264	00:04:24	228781	0		
20260407_160347	2026-04-07	16:08:11	25	16:03:47	264	00:04:24	140770	0		
20260407_160347	2026-04-07	16:08:11	26	16:03:47	264	00:04:24	140826	0		
20260407_160347	2026-04-07	16:03:50	nota			00:00:03				agora
20260407_160347	2026-04-07	16:03:56	nota			00:00:09				Gostei não?
20260407_160347	2026-04-07	16:04:10	nota			00:00:22				Teste para preparação da oficina em Brasília com Iara. Testando 3 giromins, o 24 não ligou mesmo na tomada.
